,index,resEnergy,nHubs,startTime,endTime
22353,102,54.1840113107282,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22354,103,52.7748513013228,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22355,104,52.8016270558487,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22356,105,52.1172046625637,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22357,106,51.8629586496946,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22358,107,51.4029327375131,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22359,108,50.7818077671512,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22360,109,50.8962953116356,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22361,110,50.9965687904039,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22362,111,51.8618082033494,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22363,112,51.2978434137406,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22364,113,51.5880670133217,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22365,114,51.8662464308553,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22366,115,51.7648165562734,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22367,116,51.7648165562734,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22368,117,53.7852285247271,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22369,118,53.7620747599821,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22370,119,54.2212903037865,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22371,120,53.5566785766873,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22372,121,53.0463763067916,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22373,122,52.2839200456798,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22374,123,52.8828093321964,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22375,124,52.6002890511308,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22376,125,52.4185360215607,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22377,126,52.3778124817952,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22378,127,53.028089568384,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22379,128,53.028089568384,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22380,129,53.5306966668788,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22381,130,53.3989543131824,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22382,131,53.1106944179109,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22383,132,53.1106944179109,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22384,133,53.1106944179109,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22385,134,53.2735337287586,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22386,135,52.9382422507921,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22387,136,53.9213003339836,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22388,137,54.3852641782435,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22389,138,54.756981249732,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22390,139,55.0051988580869,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22391,140,55.0598293136399,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22392,141,54.5481027332881,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22393,142,54.1067716853557,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22394,143,54.1654795463013,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22395,144,54.147533604618,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22396,145,54.147533604618,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22397,146,54.5487840363282,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22398,147,54.5981901721831,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22399,148,54.6504509926567,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22400,149,54.4653417145329,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22401,150,54.444325729767,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22402,151,54.1089400991439,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22403,152,55.3117446991547,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22404,153,55.3778971751312,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22405,154,57.9764313678348,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22406,155,57.4844265541245,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22407,156,57.2603394401693,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22408,157,57.715351547864,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22409,158,58.3198705683093,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22410,159,58.12016472607,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22411,160,57.8289880912856,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22412,161,58.2095017424206,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22413,162,58.6574167662708,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22414,163,60.2697639565243,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22415,164,60.4720140973081,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22416,165,60.4720140973081,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22417,166,60.8574395645757,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22418,167,60.4214372152233,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22419,168,60.167133544877,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22420,169,60.1879203703815,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22421,170,60.5997391001891,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22422,171,60.2706864500884,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22423,172,62.8446111422234,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22424,173,61.9807840215431,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22425,174,62.361846290888,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22426,175,57.761527546314,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22427,176,57.5224995277572,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22428,177,57.5224995277572,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22429,178,57.462864355102,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22430,179,56.5979522210174,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22431,180,56.7602860654959,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22432,181,56.8325575725059,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22433,182,54.1503458403919,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22434,183,53.8437477181047,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22435,184,53.8437477181047,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22436,185,54.032684482543,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22437,186,53.5505626565529,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22438,187,53.5193484236873,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22439,188,53.6400866789302,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22440,189,53.7398689440196,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22441,190,54.5481547984047,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22442,191,54.3430006431144,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22443,192,54.702076439915,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22444,193,54.4249654051729,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22445,194,54.5779877247666,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22446,195,55.051449090076,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22447,196,55.2704019775553,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22448,197,54.5132444905886,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22449,198,54.2822308446761,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22450,199,53.7107345828055,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22451,200,54.116053995247,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22452,201,54.2833275582728,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22453,202,53.8808281013401,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22454,203,54.3877439583781,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22455,204,54.2396810758041,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22456,205,53.8252167286326,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22457,206,54.1403057496386,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22458,207,53.4363341658154,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22459,208,53.1764616351541,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22460,209,53.1867478737012,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22461,210,53.1747277599827,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22462,211,52.4052144620522,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22463,212,52.4052144620522,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22464,213,52.4052144620522,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22465,214,53.2866658259068,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22466,215,53.7322050791052,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22467,216,53.3811742124356,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22468,217,53.8239417428967,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22469,218,52.1797207733626,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22470,219,52.1797207733626,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22471,220,52.5499948200918,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22472,221,52.6202112145447,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22473,222,52.6150157284789,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22474,223,53.1863197511797,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22475,224,52.7801315166339,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22476,225,52.0637497492448,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22477,226,52.1675492032697,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22478,227,52.6174237351758,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22479,228,52.4340976212937,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22480,229,52.5667992873829,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22481,230,52.6455596995051,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22482,231,53.7183959285576,30,2023-04-27 08:56:56,2023-04-27 22:24:16
